charName,comicAge,personName,species,alignment,gender,power,originPlanet
Aquaman,Modern,Arthur Curry,Human,Hero,Male,Telepathy;Hydrokinetic;Communicate with Marine Animals,Earth
Archangel,Modern,Warren Worthington III,Mutant,Hero,Male,Healing Factor;Flight,Earth
Batman,Modern,Bruce Wayne,Human,Hero,Male,Genius;Money,Earth
Beast,Modern,Hank McCoy,Mutant,Hero,Male,Genius;Animal Like,Earth
Black Widow,Modern,Natasha Romanoff,Human,Hero,Female,Combat,Earth
Captain America,Modern,Steve Rogers,Human,Hero,Male,Strength;Endurance,Earth
Cyclops,Modern,Scott Summers,Mutant,Hero,Male,Lasers,Earth
Doctor Doom,Modern,Viktor Krumm,Human,Villian,Male,Technopathy;Genius;Flight;Force Fields,Earth
Doctor Octopus,Modern,Otto Gunther Octavius,Human,Villian,Male,Genius,Earth
The Flash,Modern,Wally West,Human,Hero,Male,Speed,Earth
The Flash,Silver,Barry Allen,Human,Hero,Male,Speed,Earth
Green Lantern,Modern,Kyle Rayner,Human,Hero,Male,Power Ring,Earth
Green Lantern,Silver,Hal Jordan,Human,Hero,Male,Power Ring,Earth
Hawkeye,Modern,Clint Barton,Human,Hero,Male,Archery,Earth
Hulk,Modern,Bruce Banner,Human,Hero,Male,Genius;Strength,Earth
Human Torch,Modern,Johnny Storm,Human,Hero,Male,Pyrokinesis,Earth
Iceman,Modern,Bobby Drake,Mutant,Hero,Male,Thermal Vision;Tranform to Ice;Generate Ice,Earth
Invisible Woman,Modern,Susan Storm,Human,Hero,Female,Force Fields,Earth
Iron Man,Modern,Tony Stark,Human,Hero,Male,Genius;Money,Earth
Magneto,Modern,Erik Lehnsherr,Mutant,Hero,Male,Magnetism,Earth
Mister Fantastic,Modern,Reed Richards,Human,Hero,Male,Genius;Elasticity,Earth
Phoenix,Modern,Jean Grey,Mutant,Hero,Female,Telekinesis;Telepathy;Phoenix Force,Earth
Professor X,Modern,Charles Xavier,Mutant,Hero,Male,Telepathy,Earth
Quicksilver,Modern,Pietro Maximoff,Mutant,Hero,Male,Speed,Earth
Scarlet Witch,Modern,Wanda Maximoff,Mutant,Hero,Female,Reality Warping,Earth
Storm,Modern,Ororo Monroe,Mutant,Hero,Female,Weather Control;Flight,Earth
Superman,Modern,Clark Kent,Kryptonian,Hero,Male,Strength;Flight,Krypton
The Thing,Modern,Ben Grimm,Human,Hero,Male,Strength;Endurance,Earth
Thor,Modern,Thor Odinson,Asgardian,Hero,Male,Mjolnr;God,Asgard
Wolverine,Modern,Logan Howlett,Mutant,Hero,Male,Healing Factor,Earth
Wonder Woman,Modern,Princess Diana of Themyscira,Amazon,Hero,Female,Strength;Agility;Flight;Endurance,Earth
